"fname","lname","week","yr","actual","rating","home","pts_1y","xpa_1y","xpm_1y","fga_1y","fgm_1y","gt50_1y","pts_2y","xpa_2y","xpm_2y","fga_2y","fgm_2y","gt50_2y","xpa_1wk","xpm_1wk","fga_1wk","fgm_1wk","gt50_1wk","xpa_2wk","xpm_2wk","fga_2wk","fgm_2wk","gt50_2wk"
" Dan"," Bailey","2","2014","16","5","0","143","47","47","30","28","6","130","37","37","31","29","3","2","2","1","1","0","2","2","1","1","0"
" Josh"," Brown","2","2014","2","5","1","102","31","31","26","23","1","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","2","2","0","0","0","2","2","0","0","0"
" Matt"," Bryant","2","2014","4","5","0","117","39","39","27","24","3","151","44","44","38","33","4","4","4","3","3","2","4","4","3","3","2"
" Randy"," Bullock","2","2014","12","13","0","106","26","26","35","26","1","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","2","2","1","1","0","2","2","1","1","0"
" Dan"," Carpenter","2","2014","17","11","1","139","32","32","36","33","4","96","26","26","27","22","2","2","2","3","3","1","2","2","3","3","1"
" Chandler"," Catanzaro","2","2014","13","17","0","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","0","0","2","2","0","0","0","2","2","0"
" Mason"," Crosby","2","2014","13","13","1","151","42","42","37","33","5","117","50","50","33","21","2","1","1","1","1","0","1","1","1","1","0"
" Billy"," Cundiff","2","2014","8","18","1","99","32","32","26","21","2","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","3","3","2","2","0","3","3","2","2","0"
" Phil"," Dawson","2","2014","8","8","1","148","44","44","36","32","4","130","29","29","31","29","7","4","4","1","0","0","4","4","1","0","0"
" Nick"," Folk","2","2014","8","16","0","132","27","27","36","33","3","99","30","30","27","21","3","1","1","2","2","0","1","1","2","2","0"
" Kai"," Forbath","2","2014","11","12","1","82","26","26","22","18","1","86","34","33","18","17","1","1","0","0","0","0","1","0","0","0","0"
" Graham"," Gano","2","2014","12","10","1","126","42","42","27","24","6","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","2","2","3","2","0","2","2","3","2","0"
" Stephen"," Gostkowski","2","2014","12","4","0","168","44","44","41","38","5","157","66","66","35","29","2","2","2","2","2","0","2","2","2","2","0"
" Robbie"," Gould","2","2014","4","5","0","129","46","45","29","26","3","100","33","33","25","21","2","2","2","2","2","0","2","2","2","2","0"
" Shayne"," Graham","2","2014","6","7","0","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","146","45","45","38","31","4","4","4","2","2","1","4","4","2","2","1"
