fname,lname,week,yr,actual,predicted
 Stephen, Hauschka,4,2017,15,9.004758
 Dustin, Hopkins,4,2017,8,8.414278
 Wil, Lutz,4,2017,8,6.878252499999999
 Brandon, McManus,4,2017,10,7.9274
 Matt, Prater,4,2017,6,8.678121
 Aldrick, Rosas,4,2017,5,6.4939117
 Ryan, Succop,4,2017,2,6.5230308
 Giorgio, Tavecchio,4,2017,4,7.407828
 Justin, Tucker,4,2017,3,7.5327573
 Adam, Vinatieri,4,2017,4,8.590121
 Blair, Walsh,4,2017,8,10.75826
 Greg, Zuerlein,4,2017,23,8.02847
 Dan, Bailey,5,2017,7,6.182019
 Connor, Barth,5,2017,1,7.797891
 Chris, Boswell,5,2017,9,5.291997
 Randy, Bullock,5,2017,8,7.034067599999999
 Harrison, Butker,5,2017,18,6.804084
 Chandler, Catanzaro,5,2017,7,7.600503
 Mason, Crosby,5,2017,5,6.777062
 Phil, Dawson,5,2017,1,5.570703
 Jake, Elliott,5,2017,10,7.7436724
 Kaimi, Fairbairn,5,2017,2,9.531674
 Kai, Forbath,5,2017,8,8.922255999999999
 Graham, Gano,5,2017,9,6.724939
 Zane, Gonzalez,5,2017,2,7.8399696
 Stephen, Gostkowski,5,2017,13,7.4330425
 Robbie, Gould,5,2017,11,11.278372000000001
 Stephen, Hauschka,5,2017,10,9.445195
 Matt, Prater,5,2017,6,6.586544
 Aldrick, Rosas,5,2017,2,7.506295
 Ryan, Succop,5,2017,4,8.051881
 Giorgio, Tavecchio,5,2017,5,7.270205000000001
 Justin, Tucker,5,2017,12,10.0316925
 Adam, Vinatieri,5,2017,18,8.290883000000001
 Blair, Walsh,5,2017,10,9.521759
 Greg, Zuerlein,5,2017,4,7.013380499999999
 Connor, Barth,6,2017,9,7.734020699999999
 Chris, Boswell,6,2017,5,8.448604
 Harrison, Butker,6,2017,7,8.3982315
 Chandler, Catanzaro,6,2017,5,6.36315
 Mason, Crosby,6,2017,4,4.9164677
 Phil, Dawson,6,2017,8,7.8325143
 Jake, Elliott,6,2017,10,6.54686
 Kaimi, Fairbairn,6,2017,5,8.087456
 Kai, Forbath,6,2017,13,8.678443
 Graham, Gano,6,2017,11,8.446425999999999
 Zane, Gonzalez,6,2017,5,5.682654
 Stephen, Gostkowski,6,2017,6,9.994584
 Robbie, Gould,6,2017,8,10.155743
 Nick, Novak,6,2017,5,9.947878999999999
 Cody, Parkey,6,2017,8,10.893993
 Matt, Prater,6,2017,8,6.950694
 Aldrick, Rosas,6,2017,13,7.0206075
 Ryan, Succop,6,2017,18,8.9351845
 Giorgio, Tavecchio,6,2017,4,7.9526954
 Justin, Tucker,6,2017,12,10.118377
 Adam, Vinatieri,6,2017,12,10.569192999999999
 Greg, Zuerlein,6,2017,11,6.938173
 Connor, Barth,7,2017,5,6.1224847
 Chris, Boswell,7,2017,17,7.224810000000001
 Matt, Bryant,7,2017,1,11.620803
 Harrison, Butker,7,2017,14,8.789596000000001
 Chandler, Catanzaro,7,2017,4,5.5050178
 Mason, Crosby,7,2017,5,8.337113
 Phil, Dawson,7,2017,0,5.0759478
 Jake, Elliott,7,2017,12,7.5438523
 Kai, Forbath,7,2017,22,8.562365
 Graham, Gano,7,2017,3,8.1369
 Zane, Gonzalez,7,2017,11,7.737291
 Stephen, Gostkowski,7,2017,11,8.926476
 Robbie, Gould,7,2017,4,11.046231
 Wil, Lutz,7,2017,8,8.317537
 Patrick, Murray,7,2017,11,7.6390270000000005
 Nick, Novak,7,2017,3,9.290113
 Cody, Parkey,7,2017,7,8.993578
 Aldrick, Rosas,7,2017,1,6.7107344
 Ryan, Succop,7,2017,12,6.991578
 Giorgio, Tavecchio,7,2017,7,7.2648115
 Justin, Tucker,7,2017,12,7.450226299999999
 Greg, Zuerlein,7,2017,17,8.018831
 Connor, Barth,8,2017,6,6.559912700000001
 Chris, Boswell,8,2017,8,7.1629059999999996
 Matt, Bryant,8,2017,13,11.689824
 Randy, Bullock,8,2017,6,8.044573
 Harrison, Butker,8,2017,19,8.03203
 Chandler, Catanzaro,8,2017,8,7.1517990000000005
 Jake, Elliott,8,2017,9,8.449964
 Kai, Forbath,8,2017,15,7.7316
 Graham, Gano,8,2017,5,11.585294000000001
 Zane, Gonzalez,8,2017,4,7.302382000000001
 Stephen, Gostkowski,8,2017,13,10.048583
 Robbie, Gould,8,2017,6,9.569101
 Stephen, Hauschka,8,2017,10,9.41602
 Wil, Lutz,8,2017,8,7.232245
 Patrick, Murray,8,2017,3,7.7297687999999996
 Nick, Novak,8,2017,1,10.29815
 Cody, Parkey,8,2017,0,7.240444999999999
 Nick, Rose,8,2017,7,7.117392999999999
 Giorgio, Tavecchio,8,2017,2,5.889419999999999
 Justin, Tucker,8,2017,12,8.023208
 Blair, Walsh,8,2017,11,10.986018
 Matt, Bryant,9,2017,7,10.652572
 Harrison, Butker,9,2017,5,5.731389
 Chandler, Catanzaro,9,2017,10,6.1984544
 Jake, Elliott,9,2017,9,7.420819
 Kaimi, Fairbairn,9,2017,2,7.9203589999999995
 Graham, Gano,9,2017,8,10.467586500000001
 Robbie, Gould,9,2017,4,12.478242
 Stephen, Hauschka,9,2017,3,8.169951
 Wil, Lutz,9,2017,6,8.88466
 Brandon, McManus,9,2017,15,7.531309599999999
 Patrick, Murray,9,2017,6,7.306228
 Cody, Parkey,9,2017,4,11.494843
 Matt, Prater,9,2017,12,4.742375
 Nick, Rose,9,2017,5,5.4178752999999995
 Giorgio, Tavecchio,9,2017,11,7.526352
 Justin, Tucker,9,2017,8,10.033649
 Adam, Vinatieri,9,2017,10,7.339057400000001
 Blair, Walsh,9,2017,0,11.750238000000001
 Matt, Bryant,10,2017,11,12.35714
 Chandler, Catanzaro,10,2017,4,6.4217787
 Mason, Crosby,10,2017,13,5.785831
 Phil, Dawson,10,2017,4,5.237602
 Kaimi, Fairbairn,10,2017,1,5.6113915
 Graham, Gano,10,2017,9,10.409277000000001
 Robbie, Gould,10,2017,7,11.924917
 Stephen, Hauschka,10,2017,4,8.607117
 Josh, Lambo,10,2017,6,6.278004599999999
 Wil, Lutz,10,2017,13,6.670725
 Brandon, McManus,10,2017,10,11.034042999999999
 Patrick, Murray,10,2017,9,6.753047500000001
 Cody, Parkey,10,2017,3,9.095442
 Matt, Prater,10,2017,8,8.358486
 Aldrick, Rosas,10,2017,7,5.8165917
 Nick, Rose,10,2017,14,7.8449936000000005
 Ryan, Succop,10,2017,6,8.074529
 Adam, Vinatieri,10,2017,5,9.12974
 Blair, Walsh,10,2017,8,10.12122
 Greg, Zuerlein,10,2017,17,9.664007000000002
