fname,lname,week,yr,actual,predicted
 Josh, Brown,3,2015,12,7.7441225000000005
 Matt, Bryant,3,2015,7,8.081267
 Randy, Bullock,3,2015,7,6.156793599999999
 Dan, Carpenter,3,2015,13,8.013056
 Chandler, Catanzaro,3,2015,9,8.738982
 Travis, Coons,3,2015,8,7.6039863
 Mason, Crosby,3,2015,8,7.576588
 Phil, Dawson,3,2015,1,5.378044999999999
 Nick, Folk,3,2015,7,7.019201799999999
 Andrew, Franks,3,2015,0,5.8792024000000005
 Graham, Gano,3,2015,9,8.344634
 Stephen, Gostkowski,3,2015,15,10.624396
 Stephen, Hauschka,3,2015,14,8.75662
 Dustin, Hopkins,3,2015,7,5.7466865
 Sebastian, Janikowski,3,2015,9,6.1231235999999996
 Josh, Lambo,3,2015,2,5.792163400000001
 Brandon, McManus,3,2015,6,6.192695
 Jason, Myers,3,2015,5,4.8249226
 Mike, Nugent,3,2015,4,6.0613985
 Matt, Prater,3,2015,0,4.8597307
 Cairo, Santos,3,2015,2,6.4597387
 Ryan, Succop,3,2015,9,7.333475599999999
 Justin, Tucker,3,2015,6,7.8189573
 Adam, Vinatieri,3,2015,5,8.103128
 Blair, Walsh,3,2015,7,8.652992
 Greg, Zuerlein,3,2015,6,7.14739
 Dan, Bailey,4,2015,8,7.845211999999999
 Josh, Brown,4,2015,4,6.965902000000001
 Matt, Bryant,4,2015,6,8.656811
 Dan, Carpenter,4,2015,6,9.264563
 Chandler, Catanzaro,4,2015,16,8.354435
 Travis, Coons,4,2015,13,8.397173
 Mason, Crosby,4,2015,5,8.65752
 Phil, Dawson,4,2015,3,7.378061
 Nick, Folk,4,2015,9,10.002332000000001
 Andrew, Franks,4,2015,2,8.153039
 Graham, Gano,4,2015,13,8.707594
 Stephen, Hauschka,4,2015,11,9.598517
 Dustin, Hopkins,4,2015,11,7.300733
 Sebastian, Janikowski,4,2015,8,8.446786
 Josh, Lambo,4,2015,12,7.915924
 Brandon, McManus,4,2015,11,8.00085
 Jason, Myers,4,2015,7,7.2184729999999995
 Mike, Nugent,4,2015,4,9.411631
 Matt, Prater,4,2015,4,4.6765122
 Cairo, Santos,4,2015,25,7.865996000000001
 Justin, Tucker,4,2015,13,7.9242053
 Adam, Vinatieri,4,2015,12,8.546771000000001
 Blair, Walsh,4,2015,8,6.792309299999999
 Greg, Zuerlein,4,2015,6,6.3093657
 Dan, Bailey,5,2015,8,8.943546000000001
 Josh, Brown,5,2015,12,7.327681
 Matt, Bryant,5,2015,7,9.568377499999999
 Dan, Carpenter,5,2015,2,7.522813
 Chandler, Catanzaro,5,2015,6,8.21285
 Travis, Coons,5,2015,13,6.9511395
 Mason, Crosby,5,2015,6,7.1588492
 Phil, Dawson,5,2015,9,7.2289057
 Robbie, Gould,5,2015,6,9.046292999999999
 Stephen, Hauschka,5,2015,6,8.346588
 Dustin, Hopkins,5,2015,9,6.0162287
 Sebastian, Janikowski,5,2015,6,4.9274254
 Josh, Lambo,5,2015,10,6.984412
 Brandon, McManus,5,2015,12,8.424157000000001
 Jason, Myers,5,2015,7,6.483689
 Nick, Novak,5,2015,8,6.4991902999999995
 Mike, Nugent,5,2015,9,7.789654700000001
 Matt, Prater,5,2015,5,4.8597307
 Cairo, Santos,5,2015,5,7.921912700000001
 Caleb, Sturgis,5,2015,15,7.611284700000001
 Justin, Tucker,5,2015,6,7.716435400000001
 Adam, Vinatieri,5,2015,9,7.837511500000001
 Greg, Zuerlein,5,2015,4,6.121999
 Chris, Boswell,6,2015,15,6.700487599999999
 Josh, Brown,6,2015,1,6.420454
 Matt, Bryant,6,2015,3,8.339132000000001
 Dan, Carpenter,6,2015,3,7.801518
 Chandler, Catanzaro,6,2015,7,7.429831
 Travis, Coons,6,2015,5,6.2667923
 Mason, Crosby,6,2015,9,8.852507000000001
 Phil, Dawson,6,2015,15,7.8993917
 Stephen, Gostkowski,6,2015,10,9.011291
 Robbie, Gould,6,2015,14,8.74737
 Stephen, Hauschka,6,2015,13,8.890345
 Dustin, Hopkins,6,2015,10,5.2312155
 Josh, Lambo,6,2015,8,4.8607755
 Brandon, McManus,6,2015,14,8.093378
 Jason, Myers,6,2015,2,7.6365743
 Nick, Novak,6,2015,7,7.9208455
 Mike, Nugent,6,2015,10,6.4917865
 Matt, Prater,6,2015,13,8.041473
 Cairo, Santos,6,2015,4,6.5128627
 Caleb, Sturgis,6,2015,9,8.233375
 Ryan, Succop,6,2015,4,5.6115527
 Justin, Tucker,6,2015,8,8.877785000000001
 Adam, Vinatieri,6,2015,3,7.7162557000000005
 Chris, Boswell,7,2015,7,4.932046400000001
 Josh, Brown,7,2015,9,7.998556
 Matt, Bryant,7,2015,4,7.8765345
 Dan, Carpenter,7,2015,11,8.474853999999999
 Chandler, Catanzaro,7,2015,8,8.796142999999999
 Travis, Coons,7,2015,6,5.840056
 Phil, Dawson,7,2015,3,5.9013524
 Nick, Folk,7,2015,13,8.909651
 Andrew, Franks,7,2015,10,7.874219999999999
 Graham, Gano,7,2015,9,8.852455
 Stephen, Gostkowski,7,2015,12,10.096085
 Stephen, Hauschka,7,2015,8,7.9726143
 Dustin, Hopkins,7,2015,7,7.5565004
 Josh, Lambo,7,2015,7,8.197412
 Jason, Myers,7,2015,4,6.8165708
 Nick, Novak,7,2015,2,5.8964553
 Matt, Prater,7,2015,7,7.661256
 Cairo, Santos,7,2015,11,8.047766000000001
 Caleb, Sturgis,7,2015,12,6.594202
 Ryan, Succop,7,2015,1,5.9852365999999995
 Justin, Tucker,7,2015,4,6.50623
 Adam, Vinatieri,7,2015,3,7.719514
 Blair, Walsh,7,2015,20,8.030458
 Dan, Bailey,8,2015,14,8.86009
 Connor, Barth,8,2015,11,6.809243700000001
 Chris, Boswell,8,2015,4,7.18708
 Josh, Brown,8,2015,7,6.895789
 Matt, Bryant,8,2015,8,7.962117699999999
 Chandler, Catanzaro,8,2015,10,8.157162
 Travis, Coons,8,2015,2,6.737631299999999
 Phil, Dawson,8,2015,8,5.869184
 Nick, Folk,8,2015,8,9.238249
 Kai, Forbath,8,2015,12,8.223721000000001
 Andrew, Franks,8,2015,1,7.5345507
 Graham, Gano,8,2015,13,9.159767
 Stephen, Gostkowski,8,2015,12,10.825972
 Stephen, Hauschka,8,2015,7,10.313984
 Sebastian, Janikowski,8,2015,12,8.780710000000001
 Josh, Lambo,8,2015,8,8.638919
 Nick, Novak,8,2015,8,6.9626546000000005
 Matt, Prater,8,2015,4,6.4088197000000005
 Cairo, Santos,8,2015,9,8.429374000000001
 Ryan, Succop,8,2015,6,7.149216
 Justin, Tucker,8,2015,17,9.79491
 Adam, Vinatieri,8,2015,16,7.804169
 Blair, Walsh,8,2015,11,6.8459716
 Greg, Zuerlein,8,2015,5,7.8342776
 Dan, Bailey,9,2015,9,8.434306
 Connor, Barth,9,2015,14,6.004258999999999
 Chris, Boswell,9,2015,12,8.778366
 Josh, Brown,9,2015,16,8.772669
 Matt, Bryant,9,2015,10,8.900805
 Travis, Coons,9,2015,4,5.8274713
 Mason, Crosby,9,2015,3,5.683368
 Phil, Dawson,9,2015,5,6.624330499999999
 Kai, Forbath,9,2015,4,8.825292
 Andrew, Franks,9,2015,5,7.378822
 Graham, Gano,9,2015,13,9.054768
 Stephen, Gostkowski,9,2015,9,10.042601
 Robbie, Gould,9,2015,2,9.762959
 Sebastian, Janikowski,9,2015,5,6.4349074
 Josh, Lambo,9,2015,7,8.335878999999998
 Brandon, McManus,9,2015,6,7.0390844
 Mike, Nugent,9,2015,7,7.478086
 Ryan, Succop,9,2015,10,7.5454936
 Adam, Vinatieri,9,2015,11,7.668261
 Blair, Walsh,9,2015,7,6.529847
 Greg, Zuerlein,9,2015,16,7.2175436
 Dan, Bailey,10,2015,8,7.700854
 Connor, Barth,10,2015,6,6.9595428
 Chris, Boswell,10,2015,10,8.849039
 Josh, Brown,10,2015,16,8.029050999999999
 Dan, Carpenter,10,2015,10,8.657691
 Travis, Coons,10,2015,3,6.8918853
 Mason, Crosby,10,2015,4,8.728477
 Kai, Forbath,10,2015,2,6.7250559999999995
 Andrew, Franks,10,2015,8,5.840056
 Graham, Gano,10,2015,9,8.673697
 Stephen, Gostkowski,10,2015,11,8.369957000000001
 Robbie, Gould,10,2015,13,6.900372999999999
 Dustin, Hopkins,10,2015,17,8.557822999999999
 Sebastian, Janikowski,10,2015,2,7.1435122
 Brandon, McManus,10,2015,1,8.065625
 Jason, Myers,10,2015,12,8.697175999999999
 Mike, Nugent,10,2015,6,8.446528
 Caleb, Sturgis,10,2015,5,7.6486135
 Ryan, Succop,10,2015,4,6.566990400000001
 Blair, Walsh,10,2015,12,9.875861
 Greg, Zuerlein,10,2015,7,7.923811
 Dan, Bailey,11,2015,6,5.9951053
 Connor, Barth,11,2015,9,5.6238364999999995
 Randy, Bullock,11,2015,5,6.9515443
 Dan, Carpenter,11,2015,9,7.4390125
 Chandler, Catanzaro,11,2015,10,8.307806
 Mason, Crosby,11,2015,18,7.744934599999999
 Andrew, Franks,11,2015,2,8.197412
 Graham, Gano,11,2015,14,9.244291
 Stephen, Gostkowski,11,2015,8,8.779293
 Robbie, Gould,11,2015,9,9.04798
 Stephen, Hauschka,11,2015,5,10.607782
 Dustin, Hopkins,11,2015,2,7.4230905
 Sebastian, Janikowski,11,2015,9,8.079685000000001
 Brandon, McManus,11,2015,5,8.592649
