fname,lname,week,yr,actual
 Leonard, Fournette,6,2017,19
 Le'Veon, Bell,6,2017,24
 Marshawn, Lynch,6,2017,6
 Matt, Breida,6,2017,3
 Melvin, Gordon,6,2017,26
 Mike, Gillislee,6,2017,3
 Tarik, Cohen,6,2017,9
 Theo, Riddick,6,2017,4
 Todd, Gurley,6,2017,11
 Wayne, Gallman,6,2017,2
 Aaron, Jones,7,2017,19
 Alex, Collins,7,2017,3
 Austin, Ekeler,7,2017,9
 Carlos, Hyde,7,2017,8
 Chris, Ivory,7,2017,9
 Christian, McCaffrey,7,2017,4
 Corey, Clement,7,2017,6
 DeMarco, Murray,7,2017,6
 Derrick, Henry,7,2017,2
 Dion, Lewis,7,2017,7
 Doug, Martin,7,2017,7
 Duke, Johnson,7,2017,6
 Frank, Gore,7,2017,3
 Isaiah, Crowell,7,2017,6
 Jalen, Richard,7,2017,7
 James, White,7,2017,9
 Javorius, Allen,7,2017,4
 Jay, Ajayi,7,2017,7
 Jerick, McKinnon,7,2017,5
 Jonathan, Stewart,7,2017,4
 Jordan, Howard,7,2017,6
 Kareem, Hunt,7,2017,11
 Kerwynn, Williams,7,2017,2
 Latavius, Murray,7,2017,17
 LeGarrette, Blount,7,2017,2
 Le'Veon, Bell,7,2017,18
 Malcolm, Brown,7,2017,4
 Marlon, Mack,7,2017,6
 Melvin, Gordon,7,2017,3
 Mike, Gillislee,7,2017,3
 Orleans, Darkwa,7,2017,4
 Tarik, Cohen,7,2017,7
 Todd, Gurley,7,2017,20
 Wayne, Gallman,7,2017,2
 Alex, Collins,8,2017,14
 Alvin, Kamara,8,2017,12
 Carlos, Hyde,8,2017,4
 Chris, Thompson,8,2017,7
 Christian, McCaffrey,8,2017,4
 CJ, Anderson,8,2017,7
 Corey, Clement,8,2017,5
 DeAndre, Washington,8,2017,13
 Devonta, Freeman,8,2017,6
 Devontae, Booker,8,2017,11
 Dion, Lewis,8,2017,5
 Doug, Martin,8,2017,7
 Duke, Johnson,8,2017,4
 Frank, Gore,8,2017,9
 Isaiah, Crowell,8,2017,16
 Jalen, Richard,8,2017,4
 Jamaal, Charles,8,2017,2
 James, White,8,2017,8
 Javorius, Allen,8,2017,5
 Jay, Ajayi,8,2017,3
 Jerick, McKinnon,8,2017,20
 Jonathan, Stewart,8,2017,9
 Jordan, Howard,8,2017,11
 Kareem, Hunt,8,2017,6
 Latavius, Murray,8,2017,3
 LeGarrette, Blount,8,2017,10
 Le'Veon, Bell,8,2017,12
 Mark, Ingram,8,2017,13
 Marlon, Mack,8,2017,11
 Matt, Forte,8,2017,4
 Matt, Breida,8,2017,10
 Melvin, Gordon,8,2017,19
 Mike, Gillislee,8,2017,3
 Tarik, Cohen,8,2017,6
 Tevin, Coleman,8,2017,10
 Alex, Collins,9,2017,4
 Alvin, Kamara,9,2017,25
 Bilal, Powell,9,2017,7
 Carlos, Hyde,9,2017,12
 Chris, Thompson,9,2017,3
 Christian, McCaffrey,9,2017,14
 Corey, Clement,9,2017,24
 Damien, Williams,9,2017,11
 Devonta, Freeman,9,2017,5
 Devontae, Booker,9,2017,2
 Eddie, Lacy,9,2017,3
 Elijah, McGuire,9,2017,3
 Ezekiel, Elliott,9,2017,15
 Frank, Gore,9,2017,7
 Jamaal, Charles,9,2017,2
 Javorius, Allen,9,2017,12
 Jay, Ajayi,9,2017,13
 Joe, Mixon,9,2017,10
 Kareem, Hunt,9,2017,5
 LeGarrette, Blount,9,2017,3
 LeSean, McCoy,9,2017,2
 Mark, Ingram,9,2017,7
 Marlon, Mack,9,2017,2
 Matt, Forte,9,2017,20
 Rob, Kelley,9,2017,13
 Tevin, Coleman,9,2017,7
 Thomas, Rawls,9,2017,6
 Wendell, Smallwood,9,2017,2
 Alfred, Morris,10,2017,5
 Alvin, Kamara,10,2017,19
 Ameer, Abdullah,10,2017,11
 Bilal, Powell,10,2017,2
 Carlos, Hyde,10,2017,9
 Chris, Thompson,10,2017,6
 Christian, McCaffrey,10,2017,16
 CJ, Anderson,10,2017,5
 Damien, Williams,10,2017,3
 Devontae, Booker,10,2017,2
 Doug, Martin,10,2017,5
 Elijah, McGuire,10,2017,5
 Frank, Gore,10,2017,5
 Giovani, Bernard,10,2017,4
 Jamaal, Charles,10,2017,3
 Joe, Mixon,10,2017,9
 Jonathan, Stewart,10,2017,11
 Kenyan, Drake,10,2017,15
 Lamar, Miller,10,2017,7
 LeSean, McCoy,10,2017,5
 Mark, Ingram,10,2017,31
 Matt, Breida,10,2017,11
 Tevin, Coleman,10,2017,14
 Theo, Riddick,10,2017,10
 Thomas, Rawls,10,2017,3
 Alfred, Morris,11,2017,9
 Alvin, Kamara,11,2017,19
 Ameer, Abdullah,11,2017,9
 Charles, Sims,11,2017,2
 Chris, Thompson,11,2017,8
 CJ, Anderson,11,2017,9
 Damien, Williams,11,2017,9
 DeMarco, Murray,11,2017,4
 Derrick, Henry,11,2017,3
 Devontae, Booker,11,2017,9
 D'Onta, Foreman,11,2017,19
 Doug, Martin,11,2017,3
 Jamaal, Williams,11,2017,8
 Joe, Mixon,11,2017,4
 Lamar, Miller,11,2017,14
 LeSean, McCoy,11,2017,24
 Mark, Ingram,11,2017,21
 Orleans, Darkwa,11,2017,14
 Samaje, Perine,11,2017,17
 Tevin, Coleman,11,2017,11
 Theo, Riddick,11,2017,3
 Todd, Gurley,11,2017,10
 Alfred, Morris,12,2017,4
 Alvin, Kamara,12,2017,30
 Ameer, Abdullah,12,2017,3
 Austin, Ekeler,12,2017,6
 Charles, Sims,12,2017,2
 Damien, Williams,12,2017,4
 DeMarco, Murray,12,2017,9
 Derrick, Henry,12,2017,8
 Devontae, Booker,12,2017,3
 Dion, Lewis,12,2017,11
 Doug, Martin,12,2017,3
 Duke, Johnson,12,2017,6
 Giovani, Bernard,12,2017,2
 Isaiah, Crowell,12,2017,10
 Jacquizz, Rodgers,12,2017,3
 Jamaal, Williams,12,2017,24
 Jerick, McKinnon,12,2017,5
 Joe, Mixon,12,2017,22
 Kenyan, Drake,12,2017,9
 Lamar, Miller,12,2017,11
 Latavius, Murray,12,2017,14
 Leonard, Fournette,12,2017,3
 LeSean, McCoy,12,2017,7
