fname,lname,week,yr,actual,predicted
 LeVeon, Bell,6,2017,24,20.514101
 Marshawn, Lynch,6,2017,6,11.458319
 Matt, Breida,6,2017,3,7.200842
 Melvin, Gordon,6,2017,26,15.294410000000001
 Mike, Gillislee,6,2017,3,11.406383
 Tarik, Cohen,6,2017,9,7.876589
 Theo, Riddick,6,2017,4,5.584162999999999
 Todd, Gurley,6,2017,11,12.808563000000001
 Wayne, Gallman,6,2017,2,14.627193
 Aaron, Jones,7,2017,19,7.256135499999999
 Alex, Collins,7,2017,3,7.5501585
 Austin, Ekeler,7,2017,9,7.2150564
 Carlos, Hyde,7,2017,8,9.148771
 Chris, Ivory,7,2017,9,13.170745000000002
 Christian, McCaffrey,7,2017,4,12.950421
 Corey, Clement,7,2017,6,7.413082000000001
 DeMarco, Murray,7,2017,6,8.644205
 Derrick, Henry,7,2017,2,12.561244
 Dion, Lewis,7,2017,7,9.479082
 Doug, Martin,7,2017,7,8.252127
 Duke, Johnson,7,2017,6,9.499892
 Frank, Gore,7,2017,3,8.324317
 Isaiah, Crowell,7,2017,6,13.026931
 Jalen, Richard,7,2017,7,5.590397
 James, White,7,2017,9,8.129113
 Javorius, Allen,7,2017,4,4.3116010000000005
 Jay, Ajayi,7,2017,7,18.816027
 Jerick, McKinnon,7,2017,5,7.351063000000001
 Jonathan, Stewart,7,2017,4,10.80264
 Jordan, Howard,7,2017,6,21.527079999999998
 Kareem, Hunt,7,2017,11,17.997229
 Kerwynn, Williams,7,2017,2,5.1542706
 Latavius, Murray,7,2017,17,11.014451
 LeGarrette, Blount,7,2017,2,22.425726
 LeVeon, Bell,7,2017,18,21.336496
 Malcolm, Brown,7,2017,4,9.703178999999999
 Marlon, Mack,7,2017,6,12.0728
 Melvin, Gordon,7,2017,3,22.066435000000002
 Mike, Gillislee,7,2017,3,12.762534
 Orleans, Darkwa,7,2017,4,9.56273
 Tarik, Cohen,7,2017,7,10.156611
 Todd, Gurley,7,2017,20,13.169013
 Wayne, Gallman,7,2017,2,8.256198
 Alex, Collins,8,2017,14,11.088289999999999
 Alvin, Kamara,8,2017,12,7.0273943
 Carlos, Hyde,8,2017,4,12.514247
 Chris, Thompson,8,2017,7,7.669258
 Christian, McCaffrey,8,2017,4,13.015073
 CJ, Anderson,8,2017,7,7.962165
 Corey, Clement,8,2017,5,6.613929700000001
 DeAndre, Washington,8,2017,13,6.588486
 Devonta, Freeman,8,2017,6,13.658967
 Devontae, Booker,8,2017,11,7.668249
 Dion, Lewis,8,2017,5,10.5970335
 Doug, Martin,8,2017,7,14.769009
 Duke, Johnson,8,2017,4,7.108878999999999
 Frank, Gore,8,2017,9,4.999505
 Isaiah, Crowell,8,2017,16,13.397822
 Jalen, Richard,8,2017,4,7.005635300000001
 Jamaal, Charles,8,2017,2,6.997363000000001
 James, White,8,2017,8,1.9651724
 Javorius, Allen,8,2017,5,8.495477000000001
 Jay, Ajayi,8,2017,3,21.602864999999998
 Jerick, McKinnon,8,2017,20,13.514114999999999
 Jonathan, Stewart,8,2017,9,13.087798
 Jordan, Howard,8,2017,11,12.836647
 Kareem, Hunt,8,2017,6,15.090753
 Latavius, Murray,8,2017,3,6.1816580000000005
