fname,lname,week,yr,actual,predicted
 Alfred, Blue,3,2015,19,7.546841000000001
 Ameer, Abdullah,3,2015,9,10.299272
 Andre, Williams,3,2015,8,9.684749
 Bilal, Powell,3,2015,7,8.249335
 Bishop, Sankey,3,2015,4,5.842457
 Carlos, Hyde,3,2015,6,7.070550999999999
 Charles, Sims,3,2015,11,5.2958784
 Chris, Thompson,3,2015,13,4.9329343
 Chris, Johnson,3,2015,27,15.578882
 Danny, Woodhead,3,2015,4,8.9272
 Darren, Sproles,3,2015,8,5.481839
 Darren, McFadden,3,2015,9,10.833019
 David, Johnson,3,2015,3,6.5831637
 Devonta, Freeman,3,2015,37,12.006216
 Dexter, McCluster,3,2015,3,6.2820253
 Dion, Lewis,3,2015,12,14.1546755
 Doug, Martin,3,2015,4,8.45076
 Duke, Johnson,3,2015,3,11.218305
 Eddie, Lacy,3,2015,8,11.87176
 Frank, Gore,3,2015,20,10.193944
 Giovani, Bernard,3,2015,7,8.485257
 Isaiah, Crowell,3,2015,3,12.064119
 James, Starks,3,2015,4,9.244702
 Joique, Bell,3,2015,6,6.761758
 Jonathan, Stewart,3,2015,5,10.197132
 Karlos, Williams,3,2015,17,8.874507000000001
 Khiry, Robinson,3,2015,7,8.084579
 Lamar, Miller,3,2015,5,7.5307059999999995
 Latavius, Murray,3,2015,20,12.789861
 LeSean, McCoy,3,2015,8,8.398928999999999
 Mark, Ingram,3,2015,15,13.446898000000001
 Matt, Forte,3,2015,7,13.486908999999999
 Melvin, Gordon,3,2015,5,8.023997999999999
 Mike, Tolbert,3,2015,3,5.9918365
 Rashad, Jennings,3,2015,5,8.660377
 Ronnie, Hillman,3,2015,7,8.007181
 Ryan, Mathews,3,2015,17,13.951575
 Theo, Riddick,3,2015,6,2.0034258
 TJ, Yeldon,3,2015,3,8.948148
 Adrian, Peterson,4,2015,15,14.768016000000001
 Alfred, Morris,4,2015,6,7.2396655
 Ameer, Abdullah,4,2015,4,7.0141425
 Andre, Williams,4,2015,5,7.9778647
 Charles, Sims,4,2015,11,7.3466864
 Chris, Thompson,4,2015,7,7.023161999999999
 Chris, Johnson,4,2015,9,11.107372
 Chris, Polk,4,2015,10,7.5963435
 CJ, Anderson,4,2015,6,11.101004
 CJ, Spiller,4,2015,16,11.344545
 Danny, Woodhead,4,2015,13,14.132109
 Darren, McFadden,4,2015,3,8.036172
 David, Johnson,4,2015,12,10.183817999999999
 Devonta, Freeman,4,2015,32,26.436977000000002
 Doug, Martin,4,2015,19,6.621077499999999
 Duke, Johnson,4,2015,17,13.908601
 Eddie, Lacy,4,2015,9,9.596288000000001
 Frank, Gore,4,2015,7,10.188613
 Fred, Jackson,4,2015,5,7.3228800000000005
 Giovani, Bernard,4,2015,12,11.621103999999999
 Isaiah, Crowell,4,2015,12,10.8635435
 James, Starks,4,2015,3,8.646047
 Jeremy, Hill,4,2015,24,16.219364000000002
 Jonathan, Stewart,4,2015,5,8.604016
