"fname","lname","week","yr","actual","rating","home","pts_1y","rerec_1y","reyds_1y","retd_1y","pts_2y","rerec_2y","reyds_2y","retd_2y","pts_1wk","rerec_1wk","reyds_1wk","retd_1wk","pts_2wk","rerec_2wk","reyds_2wk","retd_2wk"
" Andrew"," Quarless","3","2014","10","6","0","37","32","312","2","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","0","1","8","0","2","3","26","0"
" Anthony"," Fasano","3","2014","2","11","0","33","23","200","3","57","41","332","5","3","3","39","0","8","3","29","1"
" Brandon"," Myers","3","2014","3","5","0","70","47","522","4","97","79","806","4","3","2","33","0","4","6","41","0"
" Charles"," Clay","3","2014","2","18","1","113","69","759","6","29","18","212","2","3","7","31","0","2","2","27","0"
" Coby"," Fleener","3","2014","10","19","0","81","52","608","4","36","26","281","2","1","1","13","0","2","3","21","0"
" Daniel"," Fells","3","2014","8","2","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","6","1","1","1","0","1","7","0"
" Delanie"," Walker","3","2014","5","3","0","87","60","571","6","47","21","344","3","20","10","142","1","9","3","37","1"
" Greg"," Olsen","3","2014","12","14","1","110","73","816","6","107","69","843","5","7","6","72","0","14","8","83","1"
" Heath"," Miller","3","2014","5","10","0","57","58","593","1","125","71","816","8","2","4","35","0","2","3","26","0"
" Jace"," Amaro","3","2014","5","3","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","0","1","6","0","0","2","7","0"
" Jared"," Cook","3","2014","7","10","1","89","51","671","5","69","44","523","4","4","4","46","0","5","4","56","0"
" Jason"," Witten","3","2014","4","14","0","127","73","851","8","115","110","1039","3","3","4","32","0","1","2","14","0"
" Jimmy"," Graham","3","2014","5","7","1","211","86","1215","16","144","85","982","9","23","10","118","2","8","8","82","0"
" John"," Carlson","3","2014","3","9","1","33","32","344","1","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","4","2","43","0","2","1","20","0"
" Julius"," Thomas","3","2014","7","15","0","144","65","788","12","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","9","4","39","1","28","7","104","3"
" Kyle"," Rudolph","3","2014","2","20","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","99","53","493","9","5","5","53","0","7","2","16","1"
" Lance"," Kendricks","3","2014","8","10","1","44","32","258","4","70","42","519","4","2","3","25","0","1","2","12","0"
" Larry"," Donnell","3","2014","3","2","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","8","7","81","0","11","5","56","1"
" Levine"," Toilolo","3","2014","1","13","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","1","2","13","0","7","3","19","1"
" Martellus"," Bennett","3","2014","17","15","0","97","65","759","5","86","55","626","5","9","7","37","1","13","8","70","1"
