fname,lname,week,yr,actual,predicted
 Jared, Cook,5,2017,1,5.3463054
 Jason, Witten,5,2017,5,7.3374467
 Jermaine, Gresham,5,2017,1,5.5554953000000005
 Jesse, James,5,2017,2,3.1017296
 Jimmy, Graham,5,2017,9,7.1673927
 Julius, Thomas,5,2017,1,5.695336
 Kyle, Rudolph,5,2017,10,7.560192599999999
 Lance, Kendricks,5,2017,2,4.1483326
 Martellus, Bennett,5,2017,5,7.811996000000001
 Stephen, Anderson,5,2017,6,2.3437276000000002
 Travis, Kelce,5,2017,9,7.167155999999999
 Tyler, Higbee,5,2017,9,2.1866376
 Tyler, Kroft,5,2017,3,3.8547442000000003
 Zach, Ertz,5,2017,12,6.127282
 Zach, Miller,5,2017,9,2.4856434
 Antonio, Gates,6,2017,1,4.245209
 Austin, Seferian-Jenkins,6,2017,9,7.394983
 Benjamin, Watson,6,2017,2,6.3455873
 Cameron, Brate,6,2017,13,7.346121000000001
 Darren, Fells,6,2017,8,7.904749400000001
 Dion, Sims,6,2017,10,4.383968
 Ed, Dickson,6,2017,3,8.152704
 George, Kittle,6,2017,4,3.1877882
 Gerald, Everett,6,2017,6,5.263486400000001
 Hunter, Henry,6,2017,9,5.229849
 Jared, Cook,6,2017,1,4.481186
 Jermaine, Gresham,6,2017,3,3.3628986000000003
 Julius, Thomas,6,2017,2,3.7959878
 Kyle, Rudolph,6,2017,4,6.3195486
 Martellus, Bennett,6,2017,2,5.7282470000000005
 Nick, Boyle,6,2017,3,5.621283999999999
 Stephen, Anderson,6,2017,1,4.0911273999999995
 Travis, Kelce,6,2017,3,13.029577
 Zach, Ertz,6,2017,13,5.176672
 Zach, Miller,6,2017,8,3.302224
 Austin, Seferian-Jenkins,7,2017,8,4.379805
 Benjamin, Watson,7,2017,3,6.9645467000000005
 Cameron, Brate,7,2017,6,6.634529
 David, Njoku,7,2017,5,4.8852286
 Delanie, Walker,7,2017,5,8.119100999999999
 Ed, Dickson,7,2017,1,11.479382000000001
 Garrett, Celek,7,2017,1,3.6098301
 George, Kittle,7,2017,1,5.720919599999999
 Hunter, Henry,7,2017,7,4.7143073
 Jared, Cook,7,2017,10,2.7358646
 Jermaine, Gresham,7,2017,1,2.8805623
 Jonnu, Smith,7,2017,2,4.649892299999999
 Julius, Thomas,7,2017,5,4.359332599999999
 Kyle, Rudolph,7,2017,4,7.6884426999999995
 Nick, Boyle,7,2017,1,3.9507515
 Travis, Kelce,7,2017,9,10.014947
 Tyler, Higbee,7,2017,1,7.1191792000000005
 Zach, Ertz,7,2017,14,6.895550999999999
 Zach, Miller,7,2017,2,6.024608
 AJ, Derby,8,2017,8,4.576191400000001
 Antonio, Gates,8,2017,2,4.894466
 Austin, Hooper,8,2017,10,6.4702806
 Austin, Seferian-Jenkins,8,2017,2,5.6651419999999995
 Benjamin, Watson,8,2017,6,7.030296300000001
 Cameron, Brate,8,2017,6,6.643425
 David, Njoku,8,2017,1,3.8726711000000003
 Ed, Dickson,8,2017,2,9.138894
 Garrett, Celek,8,2017,2,2.4510028
 George, Kittle,8,2017,2,3.7724218
 Hunter, Henry,8,2017,1,5.817813
 Jack, Doyle,8,2017,18,4.614804
 Jared, Cook,8,2017,5,5.5770082
 Kyle, Rudolph,8,2017,8,7.716916
 Nick, Boyle,8,2017,2,5.958968
 OJ, Howard,8,2017,1,3.8738341
 Rob, Gronkowski,8,2017,11,9.416336
 Travis, Kelce,8,2017,19,11.183332
 Trey, Burton,8,2017,2,3.981931
 Vernon, Davis,8,2017,2,4.6153674
 Virgil, Green,8,2017,1,3.396346
 Zach, Ertz,8,2017,9,9.568024000000001
 AJ, Derby,9,2017,1,4.6999044
 Austin, Hooper,9,2017,3,2.52755
 Austin, Seferian-Jenkins,9,2017,2,6.12673
 Benjamin, Watson,9,2017,4,6.2424803
 Brent, Celek,9,2017,3,0.8507544
 Coby, Fleener,9,2017,4,4.9554973
 Garrett, Celek,9,2017,1,3.447479
 George, Kittle,9,2017,2,5.398466
 Jack, Doyle,9,2017,6,6.487732
 Jared, Cook,9,2017,12,8.312923
 Jimmy, Graham,9,2017,5,8.374551
 Julius, Thomas,9,2017,14,7.540485400000001
 Travis, Kelce,9,2017,13,11.131934
 Trey, Burton,9,2017,10,3.0425857999999995
 Tyler, Kroft,9,2017,7,5.7252754999999995
 Vernon, Davis,9,2017,7,3.6537415999999996
 Austin, Hooper,10,2017,10,4.749811
 Austin, Seferian-Jenkins,10,2017,6,5.0595574
 Cameron, Brate,10,2017,1,7.2816243
 Eric, Ebron,10,2017,9,6.2667794
