fname,lname,week,yr,actual,predicted
 Benjamin, Watson,3,2015,3,5.299648
 Charles, Clay,3,2015,14,6.122452
 Crockett, Gillmore,3,2015,4,4.433827
 Eric, Ebron,3,2015,6,4.8278728
 Garrett, Celek,3,2015,2,4.0587664
 Gary, Barnidge,3,2015,16,7.769590400000001
 Greg, Olsen,3,2015,25,10.871887
 Heath, Miller,3,2015,1,2.6657534
 Jason, Witten,3,2015,6,7.1408935
 Jermaine, Gresham,3,2015,3,5.3104059999999995
 Jimmy, Graham,3,2015,14,12.701981
 Jordan, Cameron,3,2015,1,5.3529367
 Jordan, Reed,3,2015,9,8.109447
 Kyle, Rudolph,3,2015,1,6.887984299999999
 Lance, Kendricks,3,2015,1,3.6233089999999994
 Larry, Donnell,3,2015,3,6.969794
 Martellus, Bennett,3,2015,1,9.290345
 Maxx, Williams,3,2015,4,5.1285653
 Owen, Daniels,3,2015,8,4.893661499999999
 Richard, Rodgers,3,2015,1,5.570252
 Rob, Gronkowski,3,2015,10,9.364886
 Scott, Chandler,3,2015,2,5.2304916
 Travis, Kelce,3,2015,10,9.9719925
 Zach, Ertz,3,2015,3,5.205951
 Benjamin, Watson,4,2015,3,5.2342734
 Charles, Clay,4,2015,11,8.399875
 Eric, Ebron,4,2015,2,4.0815187
 Garrett, Celek,4,2015,2,5.124368
 Gary, Barnidge,4,2015,13,8.585257
 Greg, Olsen,4,2015,2,6.473813
 Jared, Cook,4,2015,2,3.2586152999999998
 Jason, Witten,4,2015,5,5.037832
 Jimmy, Graham,4,2015,2,7.643628
 Jordan, Cameron,4,2015,1,5.817351
 Jordan, Reed,4,2015,2,8.018442
 Josh, Hill,4,2015,7,5.4220714999999995
 Larry, Donnell,4,2015,3,4.063944
 Lee, Smith,4,2015,1,3.1691008
 Martellus, Bennett,4,2015,14,10.008452
 Maxx, Williams,4,2015,1,4.2161875
 Owen, Daniels,4,2015,6,4.693135
 Richard, Rodgers,4,2015,10,3.7619474000000004
 Travis, Kelce,4,2015,3,7.3731394
 Zach, Ertz,4,2015,1,4.474833
 Benjamin, Watson,5,2015,9,6.941722400000001
 Darren, Fells,5,2015,8,4.018545
