"fname","lname","week","yr","actual","rating","home","pts_1y","ruyds_1y","rutd_1y","rerec_1y","reyds_1y","retd_1y","pts_2y","ruatt_2y","ruyds_2y","rutd_2y","rerec_2y","reyds_2y","retd_2y","ruyds_1wk","rutd_1wk","rerec_1wk","reyds_1wk","retd_1wk","ruyds_2wk","rutd_2wk","rerec_2wk","reyds_2wk","retd_2wk"
" Allen"," Robinson","3","2014","7","13","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","4","75","0","0","0","1","0","0"
" Allen"," Hurns","3","2014","12","13","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","2","13","0","0","0","4","110","2"
" Alshon"," Jeffery","3","2014","11","15","0","187","105","0","89","1421","7","51","0","0","0","24","367","3","0","0","3","47","0","0","0","5","71","0"
" Andre"," Johnson","3","2014","2","16","0","161","0","0","109","1407","5","176","0","0","0","112","1598","4","0","0","6","74","0","0","0","6","93","0"
" Andre"," Roberts","3","2014","3","7","0","51","0","0","43","471","2","100","4","29","0","64","759","5","19","0","4","57","0","0","0","1","22","0"
" Andrew"," Hawkins","3","2014","8","11","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","71","6","30","0","51","533","4","0","0","6","70","0","0","0","8","87","0"
" Anquan"," Boldin","3","2014","3","8","0","153","11","0","85","1179","7","111","1","3","0","65","921","4","0","0","2","34","0","0","0","8","99","0"
" Antonio"," Brown","3","2014","21","10","0","191","4","0","110","1499","8","98","7","24","0","66","787","5","10","0","7","90","0","0","0","5","116","1"
" Brandin"," Cooks","3","2014","7","7","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","31","0","3","17","0","18","0","7","77","1"
" Brian"," Hartline","3","2014","8","18","1","117","0","0","76","1016","4","106","0","0","0","74","1083","1","0","0","5","36","0","0","0","2","26","0"
" Brian"," Quick","3","2014","12","10","1","37","0","0","18","302","2","23","0","0","0","11","156","2","0","0","7","74","0","0","0","7","99","0"
" Calvin"," Johnson","3","2014","8","16","1","213","0","0","84","1492","12","217","0","0","0","122","1964","5","0","0","6","83","0","0","0","7","164","2"
" Cordarrelle"," Patterson","3","2014","6","20","0","95","158","3","45","469","4","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","4","56","0","102","1","3","26","0"
" Damaris"," Johnson","3","2014","11","16","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","20","3","12","0","19","256","0","0","0","1","4","0","0","0","1","1","0"
" DeAndre"," Hopkins","3","2014","11","16","0","82","0","0","52","802","2","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","3","22","1","0","0","4","89","1"
" Demaryius"," Thomas","3","2014","5","15","0","220","0","0","92","1430","14","194","0","0","0","94","1434","10","0","0","5","62","1","0","0","4","48","0"
" Denard"," Robinson","3","2014","3","13","1","2","66","0","0","0","0","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","2","14","0","8","0","1","3","0"
" Denarius"," Moore","3","2014","2","1","0","95","0","0","46","695","5","110","1","-5","0","51","741","7","0","0","3","29","0","0","0","2","8","0"
" DeSean"," Jackson","3","2014","17","7","0","182","2","0","82","1332","9","76","3","-7","0","45","700","2","0","0","1","19","0","-9","0","8","62","0"
" Dez"," Bryant","3","2014","14","14","0","195","1","0","93","1233","13","203","2","-5","0","92","1382","12","0","0","10","103","1","0","0","4","55","0"
" Donte"," Moncrief","3","2014","5","19","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","1","16","0","0","0","1","9","0"
" Doug"," Baldwin","3","2014","5","14","1","101","6","0","50","778","5","47","0","0","0","29","366","3","0","0","3","35","0","0","0","3","14","0"
" Eddie"," Royal","3","2014","16","4","0","105","21","0","47","631","8","27","3","22","0","23","234","1","0","0","7","69","0","-1","0","1","20","0"
" Emmanuel"," Sanders","3","2014","14","15","0","105","25","0","67","740","6","62","1","4","0","44","626","1","-2","0","8","108","0","11","0","6","77","0"
" Golden"," Tate","3","2014","5","16","1","113","31","0","64","898","5","110","3","20","0","45","688","7","0","0","5","57","0","4","0","6","93","0"
" Greg"," Jennings","3","2014","7","20","0","97","0","0","68","804","4","57","0","0","0","36","366","4","0","0","1","4","0","0","0","6","58","1"
" Hakeem"," Nicks","3","2014","11","19","0","85","0","0","56","896","0","82","0","0","0","53","692","3","0","0","1","-4","0","0","0","5","36","1"
" Harry"," Douglas","3","2014","7","13","1","108","0","0","85","1067","2","39","2","4","0","38","395","1","0","0","4","38","0","0","0","6","69","0"
" James"," Jones","3","2014","4","1","0","92","0","0","59","817","3","158","0","0","0","64","784","14","0","0","9","112","1","0","0","3","34","1"
" Jeremy"," Kerley","3","2014","14","3","1","65","11","0","43","523","3","86","5","8","0","56","827","2","37","0","3","22","0","0","0","5","38","0"
" Jeremy"," Maclin","3","2014","21","13","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","120","0","0","0","69","857","7","0","0","4","45","1","0","0","4","97","1"
" Jermaine"," Kearse","3","2014","2","14","1","51","0","0","22","346","4","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","4","61","0","0","0","1","8","0"
" John"," Brown","3","2014","17","9","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","2","0","3","28","0","0","0","2","29","1"
" Jordan"," Matthews","3","2014","17","13","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","1","17","0","0","0","2","37","0"
" Jordy"," Nelson","3","2014","5","6","0","173","0","0","85","1314","8","114","0","0","0","49","745","7","0","0","9","209","1","0","0","9","83","0"
" Julian"," Edelman","3","2014","8","17","1","137","11","0","105","1056","6","40","4","45","0","21","235","3","9","0","6","81","1","21","0","6","95","0"
" Julio"," Jones","3","2014","28","13","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","173","6","30","0","79","1198","10","0","0","7","88","1","0","0","7","116","0"
" Justin"," Hunter","3","2014","3","3","0","55","0","0","18","354","4","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","2","26","0","0","0","3","63","0"
" Kelvin"," Benjamin","3","2014","17","14","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","2","46","0","0","0","6","92","1"
" Kendall"," Wright","3","2014","4","3","0","113","0","0","94","1079","2","78","1","4","0","64","626","4","0","0","3","31","0","0","0","6","46","1"
" Larry"," Fitzgerald","3","2014","2","9","1","147","8","0","82","954","10","99","0","0","0","71","798","4","0","0","6","51","0","0","0","1","22","0"
" Markus"," Wheaton","3","2014","3","10","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","22","0","5","38","0","0","0","6","97","0"
" Michael"," Floyd","3","2014","11","9","1","128","0","0","65","1041","5","60","0","0","0","45","562","2","0","0","1","19","0","2","0","5","119","0"
" Michael"," Crabtree","3","2014","14","8","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","159","1","8","0","85","1105","9","0","0","7","82","1","0","0","2","25","0"
" Mike"," Evans","3","2014","5","5","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","4","49","0","0","0","5","37","0"
" Mike"," Wallace","3","2014","8","18","1","117","33","0","73","930","5","124","5","7","0","64","836","8","0","0","5","56","1","0","0","7","81","1"
" Miles"," Austin","3","2014","11","11","1","20","0","0","24","244","0","122","0","0","0","66","943","6","0","0","6","44","1","0","0","2","20","0"
" Mohamed"," Sanu","3","2014","10","10","1","51","16","0","47","455","2","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","3","84","1","4","0","4","36","0"
" Niles"," Paul","3","2014","6","7","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","19","1","-1","0","8","152","1","0","0","8","99","1","0","0","4","86","0"
" Percy"," Harvin","3","2014","4","14","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","94","22","96","1","62","677","3","45","1","1","5","0","41","0","7","59","0"
" Pierre"," Garcon","3","2014","19","7","0","155","19","0","113","1346","5","82","2","9","0","44","633","4","0","0","1","12","0","0","0","10","77","0"
" Randall"," Cobb","3","2014","2","6","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","145","10","132","0","80","954","8","6","0","5","39","2","0","0","6","58","1"
" Reggie"," Wayne","3","2014","6","19","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","159","1","-5","0","106","1355","5","0","0","3","28","0","0","0","9","98","0"
" Ricardo"," Lockette","3","2014","9","14","1","5","-2","0","5","82","0","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","2","0","0","0","0","0","0","2","38","1"
" Riley"," Cooper","3","2014","3","13","1","128","18","0","47","835","8","39","0","0","0","23","248","3","0","0","1","8","0","0","0","4","29","0"
" Rueben"," Randle","3","2014","2","2","1","92","0","0","41","611","6","44","0","0","0","19","298","3","0","0","4","39","1","0","0","2","1","0"
" Steve"," Smith","3","2014","10","12","0","94","0","0","64","745","4","144","3","27","0","85","1287","4","0","0","6","71","0","0","0","7","118","1"
" Stevie"," Johnson","3","2014","10","8","0","74","10","0","52","597","3","132","0","0","0","79","1046","6","0","0","2","26","0","0","0","2","33","0"
" Taylor"," Gabriel","3","2014","8","11","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","3","13","0","8","0","1","5","0"
" Terrance"," Williams","3","2014","9","14","0","98","4","0","44","736","5","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","2","20","0","0","0","4","50","1"
" Torrey"," Smith","3","2014","2","12","0","132","0","0","65","1128","4","127","3","9","0","49","855","8","0","0","1","10","0","0","0","3","50","0"
" Travis"," Benjamin","3","2014","4","11","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","41","6","66","0","18","298","2","0","0","1","6","0","10","0","2","20","1"
" TY"," Hilton","3","2014","8","19","0","132","6","0","82","1083","5","127","5","29","0","50","861","7","0","0","6","65","0","0","0","5","41","0"
" Vincent"," Jackson","3","2014","7","5","0","156","0","0","78","1224","7","181","0","0","0","72","1384","8","0","0","4","51","0","0","0","4","36","0"
" Allen"," Robinson","4","2014","3","7","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","7","79","0","0","0","4","75","0"
" Allen"," Hurns","4","2014","6","7","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","1","63","1","0","0","2","13","0"
" Alshon"," Jeffery","4","2014","10","18","1","187","105","0","89","1421","7","51","0","0","0","24","367","3","13","0","8","105","0","0","0","3","47","0"
" Andre"," Johnson","4","2014","6","3","1","161","0","0","109","1407","5","176","0","0","0","112","1598","4","0","0","4","24","0","0","0","6","74","0"
" Andre"," Roberts","4","2014","7","12","1","51","0","0","43","471","2","100","4","29","0","64","759","5","0","0","4","38","0","19","0","4","57","0"
" Andre"," Holmes","4","2014","13","4","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","1","29","0","0","0","5","45","0"
" Anquan"," Boldin","4","2014","6","1","1","153","11","0","85","1179","7","111","1","3","0","65","921","4","0","0","6","36","0","0","0","2","34","0"
" Antonio"," Brown","4","2014","25","14","1","191","4","0","110","1499","8","98","7","24","0","66","787","5","0","0","10","90","2","10","0","7","90","0"
" Brandin"," Cooks","4","2014","3","9","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","8","74","0","31","0","3","17","0"
" Brandon"," Gibson","4","2014","2","21","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","93","0","0","0","51","691","5","0","0","1","3","0","0","0","3","27","0"
" Brandon"," Marshall","4","2014","7","18","1","198","0","0","100","1295","12","210","1","-2","0","118","1508","11","0","0","1","6","0","0","0","5","48","3"
" Brian"," Hartline","4","2014","7","21","0","117","0","0","76","1016","4","106","0","0","0","74","1083","1","0","0","3","25","1","0","0","5","36","0"
" Cordarrelle"," Patterson","4","2014","3","14","1","95","158","3","45","469","4","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","-7","0","4","61","0","0","0","4","56","0"
" DeAndre"," Hopkins","4","2014","12","3","1","82","0","0","52","802","2","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","6","116","0","0","0","3","22","1"
" Denard"," Robinson","4","2014","2","7","0","2","66","0","0","0","0","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","33","0","0","0","0","0","0","2","14","0"
" Dez"," Bryant","4","2014","10","23","1","195","1","0","93","1233","13","203","2","-5","0","92","1382","12","0","0","6","89","1","0","0","10","103","1"
" Dwayne"," Bowe","4","2014","8","5","1","90","0","0","57","673","5","92","0","0","0","59","801","3","0","0","3","32","0","0","0","3","40","0"
" Eddie"," Royal","4","2014","22","22","1","105","21","0","47","631","8","27","3","22","0","23","234","1","0","0","4","42","2","0","0","7","69","0"
" Eric"," Decker","4","2014","10","6","1","188","0","0","87","1288","11","176","0","0","0","85","1064","13","0","0","1","19","0","0","0","4","63","1"
" Golden"," Tate","4","2014","11","18","0","113","31","0","64","898","5","110","3","20","0","45","688","7","0","0","5","51","0","0","0","5","57","0"
" Greg"," Jennings","4","2014","7","14","1","97","0","0","68","804","4","57","0","0","0","36","366","4","0","0","5","70","0","0","0","1","4","0"
" James"," Jones","4","2014","8","4","1","92","0","0","59","817","3","158","0","0","0","64","784","14","0","0","3","43","0","0","0","9","112","1"
" Jarvis"," Landry","4","2014","2","21","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","3","24","0","0","0","5","49","0"
" Jason"," Avant","4","2014","2","11","0","50","0","0","38","447","2","59","0","0","0","53","648","0","0","0","2","12","0","0","0","5","54","1"
" Jeremy"," Maclin","4","2014","5","8","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","120","0","0","0","69","857","7","0","0","8","154","1","0","0","4","45","1"
" Jeremy"," Ross","4","2014","12","18","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","-5","0","3","20","0","0","0","2","23","0"
" Jordan"," Matthews","4","2014","2","8","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","8","59","2","0","0","1","17","0"
" Jordy"," Nelson","4","2014","22","8","0","173","0","0","85","1314","8","114","0","0","0","49","745","7","0","0","5","59","0","0","0","9","209","1"
" Julian"," Edelman","4","2014","2","13","0","137","11","0","105","1056","6","40","4","45","0","21","235","3","5","0","10","84","0","9","0","6","81","1"
" Julio"," Jones","4","2014","8","10","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","173","6","30","0","79","1198","10","0","0","9","161","2","0","0","7","88","1"
" Keenan"," Allen","4","2014","13","22","1","143","0","0","71","1046","8","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","2","17","0","0","0","5","55","0"
" Kelvin"," Benjamin","4","2014","13","11","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","8","115","1","0","0","2","46","0"
" Kendall"," Wright","4","2014","4","11","0","113","0","0","94","1079","2","78","1","4","0","64","626","4","0","0","5","44","0","0","0","3","31","0"
" Kenny"," Stills","4","2014","6","9","0","88","10","0","32","641","5","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","4","38","0","0","0","3","25","0"
" Markus"," Wheaton","4","2014","5","14","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","4","35","0","22","0","5","38","0"
" Michael"," Crabtree","4","2014","4","1","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","159","1","8","0","85","1105","9","4","0","10","80","1","0","0","7","82","1"
" Mike"," Wallace","4","2014","9","21","0","117","33","0","73","930","5","124","5","7","0","64","836","8","12","0","5","74","0","0","0","5","56","1"
" Mike"," Evans","4","2014","12","16","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","4","52","0","0","0","4","49","0"
" Niles"," Paul","4","2014","6","12","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","19","1","-1","0","8","152","1","0","0","6","68","0","0","0","8","99","1"
" Philly"," Brown","4","2014","3","11","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","7","66","0","11","0","0","0","0"
" Pierre"," Garcon","4","2014","2","12","1","155","19","0","113","1346","5","82","2","9","0","44","633","4","0","0","11","138","1","0","0","1","12","0"
" Preston"," Parker","4","2014","2","19","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","3","33","0","0","0","1","29","0"
" Randall"," Cobb","4","2014","23","8","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","145","10","132","0","80","954","8","0","0","3","29","0","6","0","5","39","2"
" Reggie"," Wayne","4","2014","17","17","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","159","1","-5","0","106","1355","5","0","0","4","62","0","0","0","3","28","0"
" Riley"," Cooper","4","2014","4","8","0","128","18","0","47","835","8","39","0","0","0","23","248","3","0","0","4","34","0","0","0","1","8","0"
" Rishard"," Matthews","4","2014","2","21","0","53","0","0","41","448","2","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","1","13","0","0","0","1","4","0"
" Rueben"," Randle","4","2014","8","19","0","92","0","0","41","611","6","44","0","0","0","19","298","3","0","0","5","27","0","0","0","4","39","1"
