fname,lname,week,yr,actual,predicted
 Kamar, Aiken,5,2017,2,5.5149837
 Keenan, Allen,5,2017,6,6.057619
 Kelvin, Benjamin,5,2017,11,6.5387044
 Kelvin, Benjamin,5,2017,11,6.5387044
 Kelvin, Benjamin,5,2017,11,6.5387044
 Kelvin, Benjamin,5,2017,11,7.909154400000001
 Kelvin, Benjamin,5,2017,11,7.909154400000001
 Kelvin, Benjamin,5,2017,11,7.909154400000001
 Kelvin, Benjamin,5,2017,11,7.909154400000001
 Kelvin, Benjamin,5,2017,11,6.5387044
 Larry, Fitzgerald,5,2017,5,8.886617999999999
 Marqise, Lee,5,2017,4,8.937111
 Marquise, Goodwin,5,2017,11,5.233086
 Martavis, Bryant,5,2017,3,11.901816
 Marvin, Jones,5,2017,5,8.585233
 Mike, Evans,5,2017,4,11.273398
 Mike, Wallace,5,2017,13,4.604541
 Nelson, Agholor,5,2017,15,5.245325599999999
 Paul, Richardson,5,2017,3,5.1038356
 Pierre, Garcon,5,2017,9,10.11857
 Ricardo, Louis,5,2017,7,8.810531
 Rishard, Matthews,5,2017,3,10.046337
 Robert, Woods,5,2017,6,8.16452
 Seth, Devalve,5,2017,2,5.816319
 Seth, Roberts,5,2017,3,5.26124
 Tavon, Austin,5,2017,8,20.122010999999997
 Torrey, Smith,5,2017,13,6.3493667
 Travis, Benjamin,5,2017,2,6.877935400000001
 TY, Hilton,5,2017,17,12.93896
 Tyler, Lockett,5,2017,2,4.790523
 Tyreek, Hill,5,2017,6,10.061202999999999
 Tyrell, Williams,5,2017,2,6.772835300000001
 Adam, Humphries,6,2017,5,7.3912606
 Adam, Thielen,6,2017,9,5.9025693
 Aldrick, Robinson,6,2017,12,3.2716064
 Allen, Hurns,6,2017,3,6.2717667
 Alshon, Jeffery,6,2017,7,8.175550999999999
 Amari, Cooper,6,2017,2,9.2389145
 Antonio, Brown,6,2017,21,6.3455014
 Brandin, Cooks,6,2017,9,6.969112
 Bruce, Ellington,6,2017,2,5.273337000000001
 Cooper, Kupp,6,2017,3,4.9770694
 Danny, Amendola,6,2017,4,8.668542
 Davante, Adams,6,2017,11,7.223726299999999
 DeAndre, Hopkins,6,2017,7,16.44241
 DeSean, Jackson,6,2017,9,8.813582
 Devin, Funchess,6,2017,3,9.326558
 Donte, Moncrief,6,2017,6,9.046155
 Eric, Decker,6,2017,8,7.514651299999999
 Golden, Tate,6,2017,15,6.9195495
 Jaron, Brown,6,2017,3,8.021360000000001
 Jarvis, Landry,6,2017,12,6.2869453
 Jeremy, Kerley,6,2017,12,7.702031599999999
 Jermaine, Kearse,6,2017,7,7.862796
 John, Brown,6,2017,12,7.405969
 Jordy, Nelson,6,2017,6,11.434707000000001
 JuJu, Smith-Schuster,6,2017,3,8.809412
 Kamar, Aiken,6,2017,2,6.2714004999999995
 Keenan, Allen,6,2017,4,8.716363000000001
 Kelvin, Benjamin,6,2017,9,9.164247
 Kelvin, Benjamin,6,2017,9,9.164247
 Kelvin, Benjamin,6,2017,9,9.1642475
 Kelvin, Benjamin,6,2017,9,9.1642475
 Kendall, Wright,6,2017,3,6.321006
 Kenny, Stills,6,2017,10,7.0503993000000005
 Larry, Fitzgerald,6,2017,18,5.123998
 Marqise, Lee,6,2017,9,6.3740190000000005
 Marquise, Goodwin,6,2017,2,8.509461
 Martavis, Bryant,6,2017,2,11.903344
 Marvin, Jones,6,2017,15,7.5600863
 Michael, Campanaro,6,2017,2,5.8838706
 Mike, Wallace,6,2017,3,4.6837826
 Mike, Evans,6,2017,15,10.661658000000001
 Nelson, Agholor,6,2017,11,8.636333
 Pierre, Garcon,6,2017,5,5.9748015
 Randall, Cobb,6,2017,2,6.91137
 Ricardo, Louis,6,2017,2,5.4673996
 Rishard, Matthews,6,2017,6,8.102139999999999
 Robby, Anderson,6,2017,7,5.8280015
 Robert, Woods,6,2017,6,6.616353999999999
 Seth, Roberts,6,2017,3,7.416221000000001
 Seth, Devalve,6,2017,6,4.0379496
 Taywan, Taylor,6,2017,12,3.7234397000000006
 TJ, Jones,6,2017,3,4.9386487
 Tyreek, Hill,6,2017,3,5.9293113
 Will, Fuller,6,2017,12,11.456433
 Adam, Thielen,7,2017,4,7.498895
 Allen, Hurns,7,2017,10,8.373236
 Alshon, Jeffery,7,2017,3,8.595487
 Amari, Cooper,7,2017,33,7.430948
 Antonio, Brown,7,2017,12,10.331746
 Brandin, Cooks,7,2017,12,9.450867
 Chris, Hogan,7,2017,7,6.191172
 Cooper, Kupp,7,2017,11,6.6572375
 Demarcus, Robinson,7,2017,6,5.8279843
 DeSean, Jackson,7,2017,7,6.8779197
 Devin, Funchess,7,2017,4,4.529536
 Donte, Moncrief,7,2017,3,4.1241883999999995
 Jaron, Brown,7,2017,3,6.7604294000000005
