fname,lname,week,yr,actual,predicted
 Allen, Robinson,3,2015,6,7.720758
 Allen, Hurns,3,2015,13,7.846749000000001
 Amari, Cooper,3,2015,12,6.3209805
 Antonio, Brown,3,2015,10,8.349712
 Brandin, Cooks,3,2015,7,7.072307
 Brandon, Marshall,3,2015,15,11.943358
 Calvin, Johnson,3,2015,7,5.899018
 Cecil, Shorts,3,2015,5,7.54351
 Cole, Beasley,3,2015,4,5.4498809999999995
 Danny, Amendola,3,2015,9,6.2463994000000005
 DeAndre, Hopkins,3,2015,16,10.143622
 Demaryius, Thomas,3,2015,14,9.059533
 Donte, Moncrief,3,2015,9,7.6019664
 Doug, Baldwin,3,2015,3,5.6361294
 Emmanuel, Sanders,3,2015,8,7.3270073
 Golden, Tate,3,2015,5,7.585712400000001
 Harry, Douglas,3,2015,2,4.842166400000001
 James, Jones,3,2015,19,10.806388
 Jamison, Crowder,3,2015,6,4.822989
 Jarius, Wright,3,2015,2,3.3551612
 Jarvis, Landry,3,2015,8,2.0622976000000004
 Jeremy, Maclin,3,2015,20,11.382252000000001
 John, Brown,3,2015,6,8.142684
 Jordan, Norwood,3,2015,2,5.357578
 Jordan, Matthews,3,2015,4,6.5467889999999995
 Julian, Edelman,3,2015,8,9.687448
 Julio, Jones,3,2015,28,19.262909
 Justin, Hunter,3,2015,2,6.8039703
 Keenan, Allen,3,2015,25,14.033292000000001
 Kendall, Wright,3,2015,16,6.2349877000000005
 Kenny, Britt,3,2015,10,6.0418997
 Larry, Fitzgerald,3,2015,25,15.542926000000001
 Leonard, Hankerson,3,2015,4,4.0203940000000005
 Malcom, Floyd,3,2015,6,6.1136555999999995
 Marcel, Reece,3,2015,5,4.178509
 Marlon, Brown,3,2015,2,5.412787000000001
 Marques, Colston,3,2015,4,7.1513925
 Marvin, Jones,3,2015,15,10.839446
 Michael, Crabtree,3,2015,3,6.7571807
 Mike, Wallace,3,2015,4,7.4245114
 Mohamed, Sanu,3,2015,2,4.6554523
 Nate, Washington,3,2015,4,7.969065700000001
 Odell, Beckham,3,2015,13,12.3324
 Phillip, Dorsett,3,2015,10,5.784721
 Pierre, Garcon,3,2015,6,6.132943
 Randall, Cobb,3,2015,28,12.482107000000001
 Rishard, Matthews,3,2015,23,10.011006
 Robert, Woods,3,2015,3,6.2596307
 Rueben, Randle,3,2015,17,7.9145284
 Seth, Roberts,3,2015,11,4.101437000000001
 Steve, Smith,3,2015,30,9.990788
 Stevie, Johnson,3,2015,4,6.9785495
 Tavon, Austin,3,2015,3,1.5648197
 Taylor, Gabriel,3,2015,2,4.315003
 Ted, Ginn,3,2015,9,5.751206
 Travis, Benjamin,3,2015,9,9.951630999999999
 TY, Hilton,3,2015,9,9.741679
 Vincent, Jackson,3,2015,4,8.471589
 Willie, Snead,3,2015,4,4.6807346
 AJ, Green,4,2015,8,7.892313000000001
 Allen, Robinson,4,2015,8,10.082752000000001
 Allen, Hurns,4,2015,17,8.266861
 Amari, Cooper,4,2015,10,11.484227
 Andrew, Hawkins,4,2015,2,6.6934485
 Antonio, Brown,4,2015,4,13.177484
 Brandin, Cooks,4,2015,2,8.516637
 Brandon, Coleman,4,2015,3,6.0494184
 Brandon, Marshall,4,2015,12,11.225892
 Calvin, Johnson,4,2015,4,9.660926
 Cecil, Shorts,4,2015,13,7.4982104000000005
 Chris, Hogan,4,2015,4,5.211494
 Cole, Beasley,4,2015,6,6.782173599999999
 Darrius, Heyward-Bey,4,2015,9,6.277468700000001
 DeAndre, Hopkins,4,2015,15,9.142724000000001
 Demaryius, Thomas,4,2015,9,6.866647200000001
 Donte, Moncrief,4,2015,7,7.6431594
 Doug, Baldwin,4,2015,9,8.194196
 Eddie, Royal,4,2015,11,6.7767353
 Emmanuel, Sanders,4,2015,6,8.104658
 Golden, Tate,4,2015,2,9.202764
 James, Jones,4,2015,9,8.184543
 Jamison, Crowder,4,2015,6,5.5779657
 Jarvis, Landry,4,2015,6,5.987498
 Jeremy, Maclin,4,2015,14,9.013876
 John, Brown,4,2015,8,8.656495
 Jordan, Matthews,4,2015,5,9.8098955
 Julio, Jones,4,2015,3,9.268794
 Keenan, Allen,4,2015,13,7.5721945999999996
 Lance, Moore,4,2015,2,4.799081
 Larry, Fitzgerald,4,2015,8,10.477238999999999
 Leonard, Hankerson,4,2015,16,5.3864636
 Malcom, Floyd,4,2015,2,9.503614
 Michael, Crabtree,4,2015,8,11.145057000000001
 Mike, Wallace,4,2015,14,8.351869
 Mohamed, Sanu,4,2015,8,4.243755
 Odell, Beckham,4,2015,3,8.391255000000001
 Pierre, Garcon,4,2015,11,8.8295555
 Quinton, Patton,4,2015,5,5.452906
 Randall, Cobb,4,2015,4,8.001780499999999
 Robert, Woods,4,2015,2,6.5432253
 Rueben, Randle,4,2015,9,5.1372085
 Ryan, Grant,4,2015,4,4.611179
 Steve, Smith,4,2015,2,9.366000999999999
 Stevie, Johnson,4,2015,3,6.218631299999999
 Tavon, Austin,4,2015,23,21.923645
 Taylor, Gabriel,4,2015,4,7.265112400000001
 Ted, Ginn,4,2015,13,8.589159
 Travis, Benjamin,4,2015,7,10.786472999999999
 Ty, Montgomery,4,2015,2,5.8082995
 TY, Hilton,4,2015,6,9.928235
 Vincent, Jackson,4,2015,20,10.689136999999999
 Willie, Snead,4,2015,8,7.961371000000001
 AJ, Green,5,2015,7,14.279714000000002
 Allen, Hurns,5,2015,17,14.476447
